2024-01-20 18:23:24,Noim
2024-01-20 18:23:32,Left
2024-01-20 18:23:41,Right
2024-01-20 18:23:49,Right
2024-01-20 18:23:59,Noim
2024-01-20 18:24:08,Feet
2024-01-20 18:24:17,Right
2024-01-20 18:24:26,Feet
2024-01-20 18:24:36,Noim
2024-01-20 18:24:46,Feet
2024-01-20 18:24:56,Right
2024-01-20 18:25:04,Left
2024-01-20 18:25:14,Noim
2024-01-20 18:25:24,Right
2024-01-20 18:25:33,Feet
2024-01-20 18:25:41,Left
2024-01-20 18:25:49,Noim
2024-01-20 18:25:57,Feet
2024-01-20 18:26:06,Left
2024-01-20 18:26:14,Left
2024-01-20 18:26:22,Noim
2024-01-20 18:26:32,Right
2024-01-20 18:26:41,Right
2024-01-20 18:26:49,Left
2024-01-20 18:26:57,Noim
2024-01-20 18:27:05,Noim
2024-01-20 18:27:14,Right
2024-01-20 18:27:23,Noim
2024-01-20 18:27:32,Noim
2024-01-20 18:27:41,Feet
2024-01-20 18:27:50,Right
